ZIP CODE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,score
10000,18.0,1.0,4,0,12,1,38.0
10001,84.0,6.0,7,1,55,2,164.0
10002,73.0,6.0,8,1,43,0,138.0
10003,69.0,2.0,8,1,46,0,129.0
10004,25.0,2.0,2,0,17,0,48.0
10005,21.0,0.0,3,0,10,0,34.0
10006,19.0,0.0,2,0,12,0,33.0
10007,37.0,2.0,7,1,25,0,75.0
10009,60.0,3.0,5,1,45,0,118.0
10010,79.0,4.0,6,1,58,0,153.0
10011,66.0,2.0,3,0,43,0,116.0
10012,41.0,2.0,6,0,26,1,79.0
10013,65.0,4.0,6,1,41,1,124.0
10014,52.0,8.0,5,2,38,0,115.0
10016,70.0,4.0,6,1,40,1,128.0
10017,64.0,4.0,5,1,39,1,120.0
10018,66.0,4.0,7,1,45,1,130.0
10019,57.0,3.0,8,1,36,1,111.0
10020,18.0,0.0,2,0,14,0,34.0
10021,39.0,3.0,6,0,26,1,79.0
10022,42.0,4.0,6,1,35,1,95.0
10023,45.0,3.0,5,0,23,1,81.0
10024,60.0,2.0,8,1,44,0,118.0
10025,42.0,4.0,5,1,26,0,83.0
10026,55.0,3.0,5,0,37,2,107.0
10027,76.0,5.0,5,1,64,2,161.0
10028,45.0,2.0,4,1,28,0,83.0
10029,69.0,7.0,6,1,51,2,146.0
10030,66.0,1.0,6,0,55,1,131.0
10031,72.0,4.0,5,0,54,3,145.0
10032,69.0,4.0,5,1,53,2,141.0
10033,57.0,5.0,5,0,42,3,120.0
10034,50.0,4.0,3,0,37,1,100.0
10035,111.0,6.0,6,1,90,2,225.0
10036,119.0,4.0,9,1,63,1,203.0
10037,50.0,3.0,5,0,39,1,102.0
10038,33.0,1.0,2,0,23,0,60.0
10039,51.0,1.0,4,0,38,0,95.0
10040,45.0,4.0,4,0,29,3,92.0
10041,1.0,0.0,0,0,1,0,2.0
10044,1.0,0.0,0,0,1,0,2.0
10045,2.0,0.0,0,0,2,0,4.0
10048,1.0,0.0,0,0,1,0,2.0
10055,1.0,0.0,0,0,0,0,1.0
10065,35.0,4.0,1,1,29,0,75.0
10069,9.0,0.0,3,0,3,0,15.0
10075,27.0,2.0,3,0,16,0,50.0
10103,2.0,0.0,1,0,0,0,3.0
10105,4.0,0.0,1,0,2,0,7.0
10106,2.0,0.0,0,0,1,0,3.0
10107,1.0,0.0,0,0,0,0,1.0
10110,3.0,0.0,1,0,1,0,5.0
10111,2.0,0.0,0,0,2,0,4.0
10112,2.0,0.0,1,0,0,0,3.0
10115,0.0,0.0,0,0,0,0,0.0
10118,3.0,0.0,1,0,1,0,5.0
10119,5.0,0.0,1,0,1,0,7.0
10120,2.0,0.0,1,0,0,0,3.0
10121,3.0,0.0,1,0,1,0,5.0
10122,1.0,0.0,0,0,0,0,1.0
10123,3.0,0.0,1,0,1,0,5.0
10128,42.0,5.0,3,0,32,3,93.0
10151,0.0,0.0,0,0,0,0,0.0
10152,0.0,0.0,0,0,0,0,0.0
10153,3.0,0.0,1,0,1,0,5.0
10154,0.0,0.0,0,0,0,0,0.0
10155,3.0,0.0,1,0,1,0,5.0
10158,0.0,0.0,0,0,0,0,0.0
10162,0.0,0.0,0,0,0,0,0.0
10165,3.0,0.0,1,0,1,0,5.0
10166,0.0,0.0,0,0,0,0,0.0
10167,2.0,0.0,0,0,2,0,4.0
10168,17.0,0.0,2,0,6,0,25.0
10169,8.0,0.0,1,0,6,0,15.0
10170,2.0,0.0,1,0,0,0,3.0
10171,0.0,0.0,0,0,0,0,0.0
10172,5.0,0.0,1,0,3,0,9.0
10173,0.0,0.0,0,0,0,0,0.0
10174,3.0,0.0,1,0,0,0,4.0
10176,2.0,0.0,1,0,1,0,4.0
10177,2.0,0.0,0,0,2,0,4.0
10178,3.0,0.0,1,0,1,0,5.0
10179,1.0,0.0,0,0,0,0,1.0
10271,5.0,0.0,2,0,2,0,9.0
10278,9.0,0.0,1,0,7,0,17.0
10279,0.0,0.0,0,0,0,0,0.0
10280,11.0,1.0,1,0,7,0,21.0
10281,5.0,1.0,1,0,1,1,11.0
10282,8.0,0.0,1,0,6,0,15.0
10301,117.0,3.0,4,0,97,2,228.0
10302,32.0,2.0,1,0,24,1,63.0
10303,22.0,1.0,1,0,17,1,44.0
10304,83.0,5.0,5,0,63,3,167.0
10305,46.0,6.0,1,1,34,2,99.0
10306,67.0,7.0,1,1,54,3,144.0
10307,24.0,2.0,1,0,13,1,44.0
10308,40.0,5.0,2,1,32,2,90.0
10309,60.0,5.0,1,0,55,4,134.0
10310,92.0,4.0,2,1,85,2,193.0
10312,65.0,9.0,2,0,59,5,154.0
10314,28.0,3.0,1,0,22,2,61.0
10451,133.0,5.0,6,1,105,3,262.0
10452,72.0,6.0,5,1,53,3,150.0
10453,74.0,4.0,10,1,46,3,146.0
10454,116.0,6.0,7,1,92,2,233.0
10455,72.0,3.0,5,1,53,1,140.0
10456,100.0,7.0,6,1,63,1,187.0
10457,164.0,4.0,5,1,141,1,322.0
10458,90.0,3.0,5,0,62,1,165.0
10459,95.0,3.0,4,0,65,2,174.0
10460,107.0,4.0,4,1,83,1,206.0
10461,62.0,7.0,4,1,46,5,138.0
10462,70.0,4.0,5,1,55,1,142.0
10463,86.0,6.0,4,1,70,3,180.0
10464,55.0,2.0,4,1,46,1,113.0
10465,39.0,4.0,3,0,32,3,88.0
10466,90.0,4.0,4,0,75,2,181.0
10467,114.0,7.0,4,1,88,4,230.0
10468,79.0,4.0,6,0,47,2,144.0
10469,88.0,6.0,3,1,75,4,188.0
10470,53.0,3.0,3,0,39,2,105.0
10471,44.0,3.0,4,0,35,2,93.0
10472,65.0,7.0,4,1,53,4,146.0
10473,70.0,3.0,5,0,54,1,137.0
10474,79.0,5.0,1,1,75,3,173.0
10475,65.0,3.0,1,0,51,2,127.0
10803,1.0,0.0,0,0,1,0,2.0
11001,25.0,0.0,1,0,21,0,47.0
11004,43.0,4.0,1,0,35,2,91.0
11005,9.0,1.0,0,0,8,1,21.0
11040,22.0,1.0,1,0,17,0,42.0
11101,100.0,6.0,7,1,83,2,208.0
11102,35.0,3.0,3,1,27,1,75.0
11103,53.0,2.0,5,0,27,1,91.0
11104,46.0,4.0,5,1,33,2,98.0
11105,68.0,10.0,4,1,34,7,142.0
11106,87.0,8.0,4,1,63,4,180.0
11109,7.0,0.0,2,0,4,0,13.0
11201,67.0,5.0,7,1,57,3,149.0
11203,201.0,8.0,6,1,163,6,400.0
11204,87.0,8.0,5,0,69,4,185.0
11205,71.0,5.0,5,1,44,1,134.0
11206,99.0,5.0,7,1,72,3,196.0
11207,173.0,11.0,6,1,133,6,348.0
11208,138.0,10.0,7,1,114,3,287.0
11209,35.0,2.0,4,0,22,1,67.0
11210,113.0,3.0,6,0,81,1,208.0
11211,80.0,6.0,9,1,59,2,166.0
11212,136.0,9.0,6,1,113,6,287.0
11213,139.0,8.0,5,1,120,3,288.0
11214,81.0,6.0,8,1,61,2,168.0
11215,85.0,6.0,10,1,59,2,172.0
11216,123.0,7.0,6,1,101,4,254.0
11217,89.0,5.0,5,2,70,0,178.0
11218,68.0,8.0,8,2,53,3,155.0
11219,59.0,3.0,5,1,39,1,113.0
11220,73.0,5.0,6,2,54,2,151.0
11221,130.0,2.0,6,1,111,0,253.0
11222,37.0,5.0,3,1,28,3,86.0
11223,69.0,8.0,6,1,48,4,149.0
11224,63.0,4.0,4,0,47,2,126.0
11225,116.0,4.0,9,1,96,1,233.0
11226,123.0,4.0,7,1,102,1,244.0
11228,34.0,4.0,1,0,28,2,75.0
11229,42.0,8.0,4,1,26,2,94.0
11230,61.0,7.0,9,2,41,3,135.0
11231,59.0,2.0,6,1,43,0,114.0
11232,45.0,3.0,6,1,31,0,90.0
11233,105.0,7.0,9,1,85,3,221.0
11234,113.0,17.0,4,1,89,13,268.0
11235,73.0,8.0,5,0,58,4,160.0
11236,148.0,13.0,7,1,118,7,315.0
11237,52.0,4.0,6,1,32,1,102.0
11238,84.0,7.0,7,2,67,2,180.0
11239,38.0,3.0,2,0,26,2,76.0
11241,0.0,0.0,0,0,0,0,0.0
11242,0.0,0.0,0,0,2,0,2.0
11249,49.0,6.0,9,1,28,3,106.0
11251,3.0,0.0,1,0,2,0,6.0
11354,67.0,7.0,2,1,53,3,144.0
11355,52.0,3.0,3,1,38,1,103.0
11356,32.0,1.0,1,0,28,0,63.0
11357,25.0,2.0,1,0,21,1,53.0
11358,40.0,3.0,1,0,35,2,86.0
11359,1.0,0.0,1,0,0,0,2.0
11360,19.0,1.0,1,0,15,0,37.0
11361,86.0,2.0,2,0,77,1,171.0
11362,32.0,2.0,1,0,26,1,65.0
11363,19.0,0.0,1,0,15,0,35.0
11364,28.0,6.0,1,0,21,5,72.0
11365,34.0,4.0,4,0,26,3,78.0
11366,50.0,2.0,1,0,44,1,101.0
11367,61.0,3.0,3,0,49,2,123.0
11368,86.0,5.0,9,1,61,1,170.0
11369,41.0,2.0,4,0,31,1,82.0
11370,56.0,2.0,4,0,44,1,110.0
11372,86.0,6.0,8,0,58,4,172.0
11373,76.0,6.0,8,1,50,1,150.0
11374,49.0,3.0,2,1,36,1,97.0
11375,61.0,2.0,6,0,41,1,114.0
11377,66.0,8.0,4,1,53,3,147.0
11378,52.0,3.0,4,1,33,1,99.0
11379,74.0,4.0,2,0,64,2,152.0
11385,79.0,5.0,5,0,66,3,166.0
11411,49.0,5.0,2,1,43,4,114.0
11412,54.0,2.0,2,0,43,1,105.0
11413,61.0,9.0,3,1,48,7,146.0
11414,57.0,4.0,3,1,48,2,122.0
11415,31.0,3.0,1,1,19,1,61.0
11416,55.0,5.0,3,1,45,3,121.0
11417,52.0,5.0,2,1,46,1,114.0
11418,50.0,8.0,4,0,36,7,120.0
11419,62.0,7.0,4,0,41,3,127.0
11420,63.0,11.0,2,1,54,9,161.0
11421,55.0,2.0,5,0,45,1,111.0
11422,68.0,3.0,1,1,60,1,139.0
11423,53.0,4.0,2,0,38,3,107.0
11426,34.0,2.0,1,0,29,1,70.0
11427,75.0,3.0,2,0,68,2,155.0
11428,68.0,2.0,5,0,56,1,135.0
11429,68.0,4.0,1,0,62,2,143.0
11430,14.0,1.0,0,0,12,0,28.0
11432,56.0,4.0,3,0,42,1,111.0
11433,94.0,5.0,3,0,71,4,186.0
11434,112.0,9.0,5,1,100,6,249.0
11435,91.0,2.0,3,0,68,1,168.0
11436,60.0,2.0,1,1,49,1,118.0
11691,91.0,9.0,7,1,72,5,200.0
11692,34.0,1.0,2,0,24,0,62.0
11693,64.0,3.0,2,1,54,1,130.0
11694,39.0,3.0,4,0,20,2,73.0
11695,7.0,0.0,0,0,6,0,13.0
11697,14.0,0.0,1,0,11,0,26.0